
 ----- CONTAMINATION RESULTS for Q2 = 5.0 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.002 |      1.000000
 11.1 |       0.0 |     0.003 |      1.000000
 11.1 |       0.0 |     0.003 |      1.000000
 11.1 |       0.0 |     0.009 |      1.000000
 11.1 |       0.0 |     0.016 |      1.000000
 11.1 |       0.0 |     0.018 |      1.000000
 11.1 |       0.0 |     0.023 |      1.000000
 11.1 |       0.0 |     0.026 |      1.000000
 11.1 |       0.0 |     0.028 |      1.000000
 11.1 |       0.0 |     0.034 |      1.000000
 11.2 |       0.0 |     0.046 |      1.000000
 11.2 |       0.1 |     0.064 |      1.000000
 11.2 |       0.1 |     0.101 |      1.000000
 11.2 |       0.1 |     0.128 |      1.000000
 11.2 |       0.2 |     0.159 |      1.000000
 11.2 |       0.2 |     0.205 |      1.000000
 11.2 |       0.3 |     0.260 |      1.000000
 11.2 |       0.3 |     0.334 |      1.000000
 11.2 |       0.4 |     0.448 |      1.000000
 11.2 |       0.6 |     0.563 |      1.000000
 11.3 |       0.7 |     0.750 |      1.000000
 11.3 |       1.0 |     0.968 |      1.000000
 11.3 |       1.2 |     1.195 |      1.000000
 11.3 |       1.5 |     1.466 |      1.000000
 11.3 |       1.8 |     1.788 |      1.000000
 11.3 |       2.1 |     2.146 |      1.000000
 11.3 |       2.6 |     2.553 |      1.000000
 11.3 |       3.0 |     3.005 |      1.000000
 11.3 |       3.4 |     3.428 |      1.000000
 11.3 |       3.9 |     3.920 |      1.000000
 11.4 |       4.3 |     4.350 |      1.000000
 11.4 |       4.8 |     4.838 |      1.000000
 11.4 |       5.3 |     5.295 |      1.000000
 11.4 |       5.7 |     5.740 |      1.000000
 11.4 |       6.2 |     6.178 |      1.000000
 11.4 |       6.7 |     6.651 |      1.000000
 11.4 |       7.1 |     7.089 |      1.000000
 11.4 |       7.5 |     7.537 |      1.000000
 11.4 |       7.9 |     7.945 |      1.000000
 11.4 |       8.4 |     8.376 |      1.000000
 11.5 |       8.8 |     8.776 |      1.000000
 11.5 |       9.1 |     9.123 |      1.000000
 11.5 |       9.4 |     9.449 |      1.000000
 11.5 |       9.8 |     9.757 |      1.000000
 11.5 |      10.1 |    10.052 |      1.000000
 11.5 |      10.3 |    10.307 |      1.000000
 11.5 |      10.6 |    10.566 |      1.000000
 11.5 |      10.8 |    10.775 |      1.000000
 11.5 |      11.0 |    10.951 |      1.000000
 11.5 |      11.2 |    11.157 |      1.000000
