Q2,Bjorken X,t,Ebeam,Theta_e,Eprime,Theta_p,p_pi,k_pi,W,Em,Pm,Mm
4.500000,0.230579,0.060018,10.700000,72.598521,0.300000,0.524708,10.367077,2.833632,3.987031,11.299009,0.616020,11.282204
4.500000,0.230801,0.060148,10.700000,71.235675,0.310000,1.393923,10.357007,2.379449,3.984677,11.299079,0.724315,11.275839
4.500000,0.231024,0.060278,10.700000,69.947940,0.320000,1.293620,10.346937,0.000000,3.982321,11.299148,0.490871,11.288481
4.500000,0.231246,0.060409,10.700000,68.728561,0.330000,0.685610,10.336866,0.000000,3.979965,11.299218,0.058218,11.299068
4.500000,0.231470,0.060541,10.700000,67.571618,0.340000,1.820902,10.326795,1.624321,3.977606,11.299288,0.369300,11.293252
4.500000,0.231693,0.060673,10.700000,66.471891,0.350000,0.870872,10.316724,3.103287,3.975247,11.299358,0.691962,11.278151
4.500000,0.231917,0.060805,10.700000,65.424759,0.360000,0.977278,10.306652,3.136716,3.972886,11.299429,0.790556,11.271740
4.500000,0.232142,0.060938,10.700000,64.426114,0.370000,1.978318,10.296581,1.914620,3.970523,11.299500,0.837290,11.268435
4.500000,0.232367,0.061071,10.700000,63.472289,0.380000,1.251327,10.286509,0.000000,3.968160,11.299571,0.465202,11.289990
4.500000,0.232592,0.061204,10.700000,62.559996,0.390000,0.581152,10.276437,0.000000,3.965794,11.299642,0.048418,11.299538
4.500000,0.232818,0.061338,10.700000,61.686278,0.400000,1.980928,10.266364,0.768906,3.963428,11.299713,0.274926,11.296368
4.500000,0.233044,0.061473,10.700000,60.848469,0.410000,1.979995,10.256292,2.802633,3.961060,11.299785,0.614601,11.283058
4.500000,0.233271,0.061608,10.700000,60.044155,0.420000,0.751676,10.246219,3.603013,3.958690,11.299857,0.848708,11.267939
4.500000,0.233498,0.061743,10.700000,59.271146,0.430000,0.903769,10.236146,3.629103,3.956319,11.299929,0.921524,11.262290
4.500000,0.233726,0.061879,10.700000,58.527447,0.440000,2.127011,10.226073,2.952091,3.953947,11.300001,1.021517,11.253734
4.500000,0.233954,0.062015,10.700000,57.811239,0.450000,2.324475,10.215999,1.507207,3.951573,11.300074,0.915174,11.262954
4.500000,0.234182,0.062152,10.700000,57.120858,0.460000,1.383497,10.205925,0.000000,3.949198,11.300147,0.507625,11.288739
4.500000,0.234411,0.062289,10.700000,56.454780,0.470000,0.246732,10.195851,0.000000,3.946822,11.300220,0.036314,11.300161
4.500000,0.234640,0.062427,10.700000,55.811602,0.480000,1.786305,10.185777,0.000000,3.944444,11.300293,0.163839,11.299105
4.500000,0.234870,0.062565,10.700000,55.190035,0.490000,2.588207,10.175703,1.959996,3.942064,11.300367,0.431937,11.292109
4.500000,0.235100,0.062703,10.700000,54.588888,0.500000,2.432758,10.165628,3.212752,3.939683,11.300440,0.733820,11.276589
4.500000,0.235331,0.062842,10.700000,54.007061,0.510000,1.483268,10.155553,3.935195,3.937301,11.300514,0.969100,11.258884
4.500000,0.235562,0.062982,10.700000,53.443537,0.520000,0.096804,10.145478,4.220511,3.934917,11.300589,1.074193,11.249418
4.500000,0.235794,0.063121,10.700000,52.897371,0.530000,1.327094,10.135402,4.099581,3.932532,11.300663,1.142003,11.242812
4.500000,0.236026,0.063262,10.700000,52.367686,0.540000,2.429182,10.125326,3.602273,3.930145,11.300738,1.239205,11.232589
4.500000,0.236259,0.063403,10.700000,51.853666,0.550000,2.939454,10.115250,2.745758,3.927757,11.300813,1.229301,11.233753
4.500000,0.236492,0.063544,10.700000,51.354551,0.560000,2.721387,10.105174,1.412929,3.925368,11.300888,1.035825,11.253317
4.500000,0.236725,0.063686,10.700000,50.869630,0.570000,1.812733,10.095097,0.000000,3.922977,11.300964,0.658375,11.281770
4.500000,0.236959,0.063828,10.700000,50.398242,0.580000,0.434442,10.085021,0.000000,3.920584,11.301040,0.158472,11.299929
4.500000,0.237193,0.063971,10.700000,49.939766,0.590000,1.066538,10.074944,0.000000,3.918190,11.301116,0.067835,11.300912
4.500000,0.237428,0.064114,10.700000,49.493621,0.600000,2.333393,10.064866,0.000000,3.915795,11.301192,0.213688,11.299172
4.500000,0.237664,0.064258,10.700000,49.059262,0.610000,3.111967,10.054789,1.991229,3.913398,11.301269,0.443195,11.292575
4.500000,0.237899,0.064402,10.700000,48.636177,0.620000,3.299418,10.044711,3.099909,3.911000,11.301346,0.709370,11.279061
4.500000,0.238136,0.064546,10.700000,48.223886,0.630000,2.925722,10.034633,3.893990,3.908600,11.301423,0.965473,11.260107
4.500000,0.238372,0.064692,10.700000,47.821936,0.640000,2.105177,10.024555,4.444589,3.906199,11.301500,1.173307,11.240429
4.500000,0.238609,0.064837,10.700000,47.429901,0.650000,0.991041,10.014476,4.768628,3.903796,11.301578,1.307020,11.225745
4.500000,0.238847,0.064983,10.700000,47.047378,0.660000,0.254487,10.004397,4.875742,3.901392,11.301656,1.357092,11.219881
4.500000,0.239085,0.065130,10.700000,46.673987,0.670000,1.476597,9.994318,4.776563,3.898986,11.301734,1.422500,11.211854
4.500000,0.239324,0.065277,10.700000,46.309371,0.680000,2.536274,9.984239,4.483786,3.896579,11.301812,1.515985,11.199676
4.500000,0.239563,0.065425,10.700000,45.953190,0.690000,3.315887,9.974159,4.010499,3.894170,11.301891,1.578825,11.191070
4.500000,0.239803,0.065573,10.700000,45.605122,0.700000,3.725299,9.964079,3.365387,3.891760,11.301970,1.562809,11.193397
4.500000,0.240043,0.065721,10.700000,45.264864,0.710000,3.709918,9.953999,2.538105,3.889348,11.302049,1.440252,11.209906
4.500000,0.240283,0.065871,10.700000,44.932127,0.720000,3.259918,9.943919,1.417886,3.886935,11.302128,1.204044,11.237810
4.500000,0.240524,0.066020,10.700000,44.606638,0.730000,2.417496,9.933838,0.000000,3.884521,11.302208,0.865260,11.269039
4.500000,0.240766,0.066170,10.700000,44.288136,0.740000,1.277114,9.923757,0.000000,3.882104,11.302288,0.449959,11.293328
4.500000,0.241008,0.066321,10.700000,43.976375,0.750000,0.025575,9.913675,0.000000,3.879687,11.302368,0.036339,11.302310
4.500000,0.241250,0.066472,10.700000,43.671120,0.760000,1.336152,9.903594,0.000000,3.877268,11.302449,0.075619,11.302196
4.500000,0.241493,0.066624,10.700000,43.372146,0.770000,2.508996,9.893512,0.000000,3.874847,11.302530,0.185087,11.301014
4.500000,0.241736,0.066776,10.700000,43.079242,0.780000,3.430572,9.883430,1.387129,3.872425,11.302611,0.351925,11.297131
4.500000,0.241980,0.066929,10.700000,42.792204,0.790000,4.031495,9.873348,2.488451,3.870001,11.302692,0.558924,11.288864
4.500000,0.242225,0.067082,10.700000,42.510838,0.800000,4.286506,9.863265,3.315193,3.867576,11.302774,0.787188,11.275329
4.500000,0.242470,0.067236,10.700000,42.234960,0.810000,4.206332,9.853182,3.993346,3.865149,11.302856,1.018359,11.256887
4.500000,0.242715,0.067390,10.700000,41.964393,0.820000,3.826594,9.843099,4.550135,3.862721,11.302938,1.236136,11.235140
4.500000,0.242961,0.067545,10.700000,41.698969,0.830000,3.197505,9.833015,4.994275,3.860291,11.303021,1.427129,11.212563
4.500000,0.243207,0.067700,10.700000,41.438527,0.840000,2.376034,9.822931,5.329475,3.857860,11.303103,1.581186,11.191961
4.500000,0.243454,0.067856,10.700000,41.182912,0.850000,1.420717,9.812847,5.558277,3.855427,11.303187,1.691403,11.175920
4.500000,0.243702,0.068013,10.700000,40.931977,0.860000,0.388623,9.802763,5.683372,3.852992,11.303270,1.753923,11.166363
4.500000,0.243950,0.068170,10.700000,40.685581,0.870000,0.666218,9.792678,5.708059,3.850556,11.303354,1.784890,11.161540
4.500000,0.244198,0.068327,10.700000,40.443588,0.880000,1.693514,9.782593,5.636324,3.848119,11.303437,1.843960,11.152018
4.500000,0.244447,0.068485,10.700000,40.205868,0.890000,2.647006,9.772508,5.472756,3.845680,11.303522,1.922532,11.138827
4.500000,0.244696,0.068644,10.700000,39.972298,0.900000,3.484660,9.762422,5.222334,3.843239,11.303606,2.000463,11.125181
4.500000,0.244946,0.068803,10.700000,39.742756,0.910000,4.169013,9.752336,4.890099,3.840797,11.303691,2.057680,11.114827
