
 ------ CONTAMINATION RESULTS for Q2 = 6.5 ------

  Cut | 1pi Total | 2pi Total | Contamination
 11.5 |      21.7 |     0.046 |      0.002125
 11.6 |      33.1 |     0.251 |      0.007566
 11.7 |      42.4 |     0.706 |      0.016654
 11.8 |      49.0 |     1.407 |      0.028733
 11.9 |      54.1 |     2.427 |      0.044888
 12.0 |      57.4 |     3.613 |      0.062958
 12.1 |      60.1 |     4.816 |      0.080166
 12.2 |      61.9 |     6.142 |      0.099300
 12.3 |      63.4 |     7.449 |      0.117514
 12.4 |      64.2 |     8.527 |      0.132820

