
 ----- CONTAMINATION RESULTS for Q2 = 7.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.2 |     0.000 |     0.000 |           nan
 11.2 |     0.000 |     0.000 |      0.000000
 11.2 |     0.000 |     0.000 |      0.000000
 11.2 |     0.000 |     0.000 |      0.000000
 11.2 |     0.000 |     0.000 |      0.000000
 11.2 |     0.000 |     0.000 |      0.000000
 11.3 |     0.001 |     0.000 |      0.000000
 11.3 |     0.001 |     0.000 |      0.000000
 11.3 |     0.002 |     0.000 |      0.000000
 11.3 |     0.004 |     0.000 |      0.000000
 11.3 |     0.005 |     0.000 |      0.000000
 11.3 |     0.008 |     0.000 |      0.000000
 11.3 |     0.011 |     0.000 |      0.000000
 11.3 |     0.014 |     0.000 |      0.000000
 11.3 |     0.018 |     0.000 |      0.000000
 11.3 |     0.022 |     0.000 |      0.000000
 11.4 |     0.028 |     0.000 |      0.000000
 11.4 |     0.035 |     0.000 |      0.000000
 11.4 |     0.041 |     0.000 |      0.000000
 11.4 |     0.047 |     0.000 |      0.000000
 11.4 |     0.053 |     0.000 |      0.000000
 11.4 |     0.061 |     0.000 |      0.000000
 11.4 |     0.067 |     0.000 |      0.000000
 11.4 |     0.075 |     0.000 |      0.000303
 11.4 |     0.083 |     0.000 |      0.000368
 11.4 |     0.092 |     0.000 |      0.000846
 11.5 |     0.101 |     0.000 |      0.000840
 11.5 |     0.109 |     0.000 |      0.000921
 11.5 |     0.117 |     0.000 |      0.001225
 11.5 |     0.126 |     0.000 |      0.001295
 11.5 |     0.133 |     0.000 |      0.001521
 11.5 |     0.143 |     0.000 |      0.002036
 11.5 |     0.151 |     0.000 |      0.002476
 11.5 |     0.160 |     0.000 |      0.002699
 11.5 |     0.169 |     0.000 |      0.002738
 11.5 |     0.179 |     0.001 |      0.002965
 11.6 |     0.188 |     0.001 |      0.003136
 11.6 |     0.197 |     0.001 |      0.003512
 11.6 |     0.207 |     0.001 |      0.003837
 11.6 |     0.215 |     0.001 |      0.004245
 11.6 |     0.224 |     0.001 |      0.004336
 11.6 |     0.233 |     0.001 |      0.004329
 11.6 |     0.242 |     0.001 |      0.004356
 11.6 |     0.250 |     0.001 |      0.004600
 11.6 |     0.258 |     0.001 |      0.005069
 11.6 |     0.265 |     0.001 |      0.005440
 11.7 |     0.274 |     0.002 |      0.005870
 11.7 |     0.281 |     0.002 |      0.006193
 11.7 |     0.289 |     0.002 |      0.006327
 11.7 |     0.297 |     0.002 |      0.006658
 11.7 |     0.304 |     0.002 |      0.007345
 11.7 |     0.311 |     0.002 |      0.007882
 11.7 |     0.318 |     0.003 |      0.008775
 11.7 |     0.323 |     0.003 |      0.009333
 11.7 |     0.330 |     0.003 |      0.009943
 11.7 |     0.336 |     0.004 |      0.010568
 11.8 |     0.343 |     0.004 |      0.011017
 11.8 |     0.349 |     0.004 |      0.011765
 11.8 |     0.356 |     0.004 |      0.012180
 11.8 |     0.364 |     0.005 |      0.012546
 11.8 |     0.370 |     0.005 |      0.013158
 11.8 |     0.376 |     0.005 |      0.013597
 11.8 |     0.382 |     0.005 |      0.014166
 11.8 |     0.388 |     0.006 |      0.014900
 11.8 |     0.394 |     0.006 |      0.015684
 11.8 |     0.400 |     0.007 |      0.016298
 11.9 |     0.406 |     0.007 |      0.016927
 11.9 |     0.411 |     0.007 |      0.017641
 11.9 |     0.416 |     0.008 |      0.018772
 11.9 |     0.421 |     0.008 |      0.019741
 11.9 |     0.426 |     0.009 |      0.020706
 11.9 |     0.431 |     0.009 |      0.021347
 11.9 |     0.436 |     0.010 |      0.022300
 11.9 |     0.439 |     0.010 |      0.023423
 11.9 |     0.443 |     0.011 |      0.024374
 11.9 |     0.447 |     0.011 |      0.025377
 12.0 |     0.451 |     0.012 |      0.026158
 12.0 |     0.455 |     0.012 |      0.027166
 12.0 |     0.459 |     0.013 |      0.028025
 12.0 |     0.463 |     0.013 |      0.028761
 12.0 |     0.468 |     0.014 |      0.029676
 12.0 |     0.472 |     0.014 |      0.030625
 12.0 |     0.476 |     0.015 |      0.031679
 12.0 |     0.479 |     0.016 |      0.032672
 12.0 |     0.482 |     0.016 |      0.033441
 12.0 |     0.486 |     0.017 |      0.034402
 12.1 |     0.490 |     0.017 |      0.035588
 12.1 |     0.493 |     0.018 |      0.036736
 12.1 |     0.497 |     0.019 |      0.037424
 12.1 |     0.500 |     0.019 |      0.038763
 12.1 |     0.502 |     0.020 |      0.040143
 12.1 |     0.505 |     0.021 |      0.041263
 12.1 |     0.508 |     0.022 |      0.042459
 12.1 |     0.511 |     0.022 |      0.043465
 12.1 |     0.513 |     0.023 |      0.044669
 12.1 |     0.516 |     0.024 |      0.045735
 12.2 |     0.518 |     0.024 |      0.046776
 12.2 |     0.519 |     0.025 |      0.048134
 12.2 |     0.522 |     0.026 |      0.049113
 12.2 |     0.524 |     0.026 |      0.050203
 12.2 |     0.526 |     0.027 |      0.051677
 12.2 |     0.529 |     0.028 |      0.053049
 12.2 |     0.531 |     0.029 |      0.054355
 12.2 |     0.532 |     0.030 |      0.055797
 12.2 |     0.534 |     0.030 |      0.056825
 12.2 |     0.537 |     0.031 |      0.057852
 12.3 |     0.539 |     0.032 |      0.059431
 12.3 |     0.541 |     0.033 |      0.060901
 12.3 |     0.543 |     0.034 |      0.062186
 12.3 |     0.545 |     0.034 |      0.063245
 12.3 |     0.546 |     0.035 |      0.064313
 12.3 |     0.548 |     0.036 |      0.065177
 12.3 |     0.550 |     0.037 |      0.066442
 12.3 |     0.551 |     0.037 |      0.067780
 12.3 |     0.553 |     0.038 |      0.068954
 12.3 |     0.554 |     0.039 |      0.070175
 12.4 |     0.556 |     0.040 |      0.071277
 12.4 |     0.557 |     0.040 |      0.072501
 12.4 |     0.558 |     0.041 |      0.073607
 12.4 |     0.560 |     0.042 |      0.074689
 12.4 |     0.561 |     0.043 |      0.075929
 12.4 |     0.563 |     0.044 |      0.077315
 12.4 |     0.563 |     0.044 |      0.078721
 12.4 |     0.564 |     0.045 |      0.080017
 12.4 |     0.565 |     0.046 |      0.081515
 12.4 |     0.566 |     0.047 |      0.082732
 12.5 |     0.567 |     0.047 |      0.083698
 12.5 |     0.568 |     0.048 |      0.084822
 12.5 |     0.569 |     0.049 |      0.086137
 12.5 |     0.570 |     0.050 |      0.087293
 12.5 |     0.571 |     0.050 |      0.088461
 12.5 |     0.572 |     0.051 |      0.089777
 12.5 |     0.573 |     0.052 |      0.090684
 12.5 |     0.573 |     0.052 |      0.091616
 12.5 |     0.573 |     0.053 |      0.092880
 12.5 |     0.574 |     0.054 |      0.094197
 12.6 |     0.574 |     0.055 |      0.095422
 12.6 |     0.575 |     0.055 |      0.096162
 12.6 |     0.576 |     0.056 |      0.097216
 12.6 |     0.576 |     0.057 |      0.098143
 12.6 |     0.577 |     0.057 |      0.099154
 12.6 |     0.577 |     0.058 |      0.100068
 12.6 |     0.577 |     0.058 |      0.101074
 12.6 |     0.578 |     0.059 |      0.101840
 12.6 |     0.578 |     0.059 |      0.102529
 12.6 |     0.578 |     0.060 |      0.103310
 12.7 |     0.579 |     0.060 |      0.104052
 12.7 |     0.579 |     0.061 |      0.105002
 12.7 |     0.579 |     0.061 |      0.105849
 12.7 |     0.580 |     0.062 |      0.106433
 12.7 |     0.580 |     0.062 |      0.107090
 12.7 |     0.580 |     0.062 |      0.107696
 12.7 |     0.581 |     0.063 |      0.108126
 12.7 |     0.581 |     0.063 |      0.108562
 12.7 |     0.581 |     0.063 |      0.109054
 12.7 |     0.582 |     0.064 |      0.109450
 12.8 |     0.582 |     0.064 |      0.109907
 12.8 |     0.582 |     0.064 |      0.110607
 12.8 |     0.582 |     0.065 |      0.111122
 12.8 |     0.583 |     0.065 |      0.111608
 12.8 |     0.583 |     0.065 |      0.112210
 12.8 |     0.583 |     0.066 |      0.112529
 12.8 |     0.583 |     0.066 |      0.112892
 12.8 |     0.583 |     0.066 |      0.113241
 12.8 |     0.584 |     0.066 |      0.113746
 12.8 |     0.584 |     0.067 |      0.114309
 12.9 |     0.584 |     0.067 |      0.114662
 12.9 |     0.584 |     0.067 |      0.114793
 12.9 |     0.584 |     0.067 |      0.115065
 12.9 |     0.584 |     0.067 |      0.115342
 12.9 |     0.584 |     0.068 |      0.115652
 12.9 |     0.584 |     0.068 |      0.115829
 12.9 |     0.585 |     0.068 |      0.116114
 12.9 |     0.585 |     0.068 |      0.116190
 12.9 |     0.585 |     0.068 |      0.116320
 12.9 |     0.585 |     0.068 |      0.116414
 13.0 |     0.585 |     0.068 |      0.116483
 13.0 |     0.585 |     0.068 |      0.116592
 13.0 |     0.585 |     0.068 |      0.116755
 13.0 |     0.585 |     0.068 |      0.116926
 13.0 |     0.585 |     0.069 |      0.117021
 13.0 |     0.585 |     0.069 |      0.117065
 13.0 |     0.585 |     0.069 |      0.117107
 13.0 |     0.585 |     0.069 |      0.117143
 13.0 |     0.585 |     0.069 |      0.117179
 13.0 |     0.585 |     0.069 |      0.117204
 13.1 |     0.586 |     0.069 |      0.117240
 13.1 |     0.586 |     0.069 |      0.117240
 13.1 |     0.586 |     0.069 |      0.117258
 13.1 |     0.586 |     0.069 |      0.117281
 13.1 |     0.586 |     0.069 |      0.117281
 13.1 |     0.586 |     0.069 |      0.117282
 13.1 |     0.586 |     0.069 |      0.117294
 13.1 |     0.586 |     0.069 |      0.117294
 13.1 |     0.586 |     0.069 |      0.117294
 13.1 |     0.586 |     0.069 |      0.117294
 13.2 |     0.586 |     0.069 |      0.117294
 13.2 |     0.586 |     0.069 |      0.117303
 13.2 |     0.586 |     0.069 |      0.117303
 13.2 |     0.586 |     0.069 |      0.117303
 13.2 |     0.586 |     0.069 |      0.117303
 13.2 |     0.586 |     0.069 |      0.117303
 13.2 |     0.586 |     0.069 |      0.117303
 13.2 |     0.586 |     0.069 |      0.117303
 13.2 |     0.586 |     0.069 |      0.117314
 13.2 |     0.586 |     0.069 |      0.117314
 13.3 |     0.586 |     0.069 |      0.117314
 13.3 |     0.586 |     0.069 |      0.117314
 13.3 |     0.586 |     0.069 |      0.117314
 13.3 |     0.586 |     0.069 |      0.117314
 13.3 |     0.586 |     0.069 |      0.117314
 13.3 |     0.586 |     0.069 |      0.117314
 13.3 |     0.586 |     0.069 |      0.117301
 13.3 |     0.586 |     0.069 |      0.117301
 13.3 |     0.586 |     0.069 |      0.117301
 13.3 |     0.586 |     0.069 |      0.117301
 13.4 |     0.586 |     0.069 |      0.117301
 13.4 |     0.586 |     0.069 |      0.117301
 13.4 |     0.586 |     0.069 |      0.117301
 13.4 |     0.586 |     0.069 |      0.117301
 13.4 |     0.586 |     0.069 |      0.117299
 13.4 |     0.586 |     0.069 |      0.117303
 13.4 |     0.586 |     0.069 |      0.117303
 13.4 |     0.586 |     0.069 |      0.117303
 13.4 |     0.586 |     0.069 |      0.117303
 13.4 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.5 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117303
 13.6 |     0.586 |     0.069 |      0.117296
 13.6 |     0.586 |     0.069 |      0.117296
 13.7 |     0.586 |     0.069 |      0.117296
 13.7 |     0.586 |     0.069 |      0.117296
 13.7 |     0.586 |     0.069 |      0.117296
 13.7 |     0.586 |     0.069 |      0.117296
 13.7 |     0.586 |     0.069 |      0.117296
 13.7 |     0.586 |     0.069 |      0.117292

