
 ----- CONTAMINATION RESULTS for Q2 = 5.0 -----

  Cut | 1pi Total | 2pi Total | Contamination
  0.8 |     0.000 |     0.000 |           nan
  0.8 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.107122
  0.9 |     0.000 |     0.000 |      0.353629
  0.9 |     0.000 |     0.000 |      0.410929
  0.9 |     0.000 |     0.000 |      0.455531
  0.9 |     0.001 |     0.001 |      0.578158
  0.9 |     0.002 |     0.001 |      0.666221
  0.9 |     0.005 |     0.002 |      0.437070
  0.9 |     0.021 |     0.005 |      0.228707
  0.9 |     0.309 |     0.085 |      0.275255
  0.9 |     0.681 |     0.197 |      0.289585
  1.0 |     0.758 |     0.218 |      0.288046
  1.0 |     0.803 |     0.230 |      0.286514
  1.0 |     0.831 |     0.239 |      0.287470
  1.0 |     0.857 |     0.247 |      0.287614
  1.0 |     0.878 |     0.253 |      0.288011
  1.0 |     0.896 |     0.257 |      0.287100
  1.0 |     0.910 |     0.262 |      0.287818
  1.0 |     0.921 |     0.266 |      0.288332
  1.0 |     0.936 |     0.270 |      0.288717
  1.0 |     0.948 |     0.274 |      0.288892
  1.1 |     0.959 |     0.277 |      0.288938
  1.1 |     0.969 |     0.280 |      0.288923
  1.1 |     0.978 |     0.282 |      0.288742
  1.1 |     0.988 |     0.285 |      0.288691
  1.1 |     0.994 |     0.287 |      0.289017
  1.1 |     1.002 |     0.289 |      0.288119
  1.1 |     1.008 |     0.291 |      0.288999
  1.1 |     1.015 |     0.293 |      0.288530
  1.1 |     1.021 |     0.295 |      0.289172
  1.1 |     1.028 |     0.297 |      0.289046
  1.2 |     1.034 |     0.299 |      0.288759
  1.2 |     1.041 |     0.300 |      0.288405
  1.2 |     1.047 |     0.302 |      0.287969
  1.2 |     1.052 |     0.303 |      0.288432
  1.2 |     1.056 |     0.305 |      0.289068
  1.2 |     1.061 |     0.307 |      0.288890
  1.2 |     1.066 |     0.308 |      0.288963
  1.2 |     1.070 |     0.309 |      0.288602
  1.2 |     1.074 |     0.310 |      0.288827
  1.2 |     1.078 |     0.311 |      0.288538
  1.3 |     1.081 |     0.312 |      0.288339
  1.3 |     1.085 |     0.313 |      0.288412
  1.3 |     1.090 |     0.315 |      0.288857
  1.3 |     1.093 |     0.316 |      0.288826
  1.3 |     1.097 |     0.316 |      0.288473
  1.3 |     1.099 |     0.317 |      0.288876
  1.3 |     1.100 |     0.318 |      0.289190
  1.3 |     1.103 |     0.319 |      0.289510
  1.3 |     1.105 |     0.321 |      0.290227
  1.3 |     1.106 |     0.322 |      0.290705
  1.4 |     1.108 |     0.323 |      0.291051
  1.4 |     1.109 |     0.324 |      0.291598
  1.4 |     1.112 |     0.324 |      0.291397
  1.4 |     1.114 |     0.325 |      0.291371
  1.4 |     1.116 |     0.325 |      0.291583
  1.4 |     1.119 |     0.326 |      0.291349
  1.4 |     1.120 |     0.327 |      0.291758
  1.4 |     1.121 |     0.328 |      0.292273
  1.4 |     1.122 |     0.328 |      0.292385
  1.4 |     1.123 |     0.329 |      0.293044
  1.5 |     1.125 |     0.330 |      0.293064
  1.5 |     1.126 |     0.330 |      0.293115
  1.5 |     1.127 |     0.330 |      0.293000
  1.5 |     1.128 |     0.330 |      0.292783
  1.5 |     1.129 |     0.331 |      0.293165
  1.5 |     1.129 |     0.331 |      0.293472
  1.5 |     1.130 |     0.332 |      0.293567
  1.5 |     1.131 |     0.332 |      0.293467
  1.5 |     1.132 |     0.332 |      0.293727
  1.5 |     1.132 |     0.333 |      0.293639
  1.6 |     1.133 |     0.333 |      0.293751
  1.6 |     1.133 |     0.333 |      0.293770
  1.6 |     1.134 |     0.333 |      0.293777
  1.6 |     1.135 |     0.333 |      0.293859
  1.6 |     1.135 |     0.334 |      0.294069
  1.6 |     1.135 |     0.334 |      0.294071
  1.6 |     1.136 |     0.334 |      0.293975
  1.6 |     1.136 |     0.334 |      0.294121
  1.6 |     1.136 |     0.334 |      0.294122
  1.6 |     1.137 |     0.334 |      0.294182
  1.7 |     1.137 |     0.334 |      0.294224
  1.7 |     1.137 |     0.335 |      0.294416
  1.7 |     1.137 |     0.335 |      0.294404
  1.7 |     1.137 |     0.335 |      0.294398

