Q2,Bjorken X,t,Ebeam,Theta_e,Eprime,Theta_p,p_pi,k_pi,W,Em,Pm,Mm,MMa
7.000000,0.358679,0.170856,10.700000,95.183321,0.300000,1.314689,10.308007,0.000000,3.660111,1.029320,0.524804,0.885483,0.885483
7.000000,0.359024,0.171262,10.700000,93.162633,0.310000,1.487822,10.297790,0.000000,3.657547,1.029537,0.261067,0.995886,0.995886
7.000000,0.359370,0.171670,10.700000,91.271857,0.320000,0.274483,10.287571,2.604281,3.654981,1.029754,0.728174,0.728118,0.728118
7.000000,0.359717,0.172079,10.700000,89.496972,0.330000,1.767296,10.277352,0.000000,3.652413,1.029972,0.768340,0.685927,0.685927
7.000000,0.360064,0.172490,10.700000,87.826082,0.340000,0.259539,10.267132,0.000000,3.649843,1.030191,0.096230,1.025687,1.025687
7.000000,0.360412,0.172903,10.700000,86.248999,0.350000,1.845198,10.256912,1.323688,3.647271,1.030411,0.499169,0.901431,0.901431
7.000000,0.360760,0.173317,10.700000,84.756934,0.360000,0.123132,10.246690,2.927975,3.644698,1.030632,0.813837,0.632353,0.632353
7.000000,0.361110,0.173732,10.700000,83.342248,0.370000,1.966341,10.236468,1.346217,3.642122,1.030853,0.877988,0.540181,0.540181
7.000000,0.361459,0.174149,10.700000,81.998262,0.380000,0.656112,10.226245,0.000000,3.639545,1.031075,0.261356,0.997401,0.997401
7.000000,0.361810,0.174567,10.700000,80.719098,0.390000,1.749439,10.216021,0.000000,3.636966,1.031298,0.265931,0.996422,0.996422
7.000000,0.362161,0.174987,10.700000,79.499565,0.400000,1.716966,10.205796,2.579685,3.634386,1.031522,0.728604,0.730188,0.730188
7.000000,0.362513,0.175409,10.700000,78.335047,0.410000,0.430274,10.195570,3.247898,3.631803,1.031746,0.920157,0.466703,0.466703
7.000000,0.362866,0.175832,10.700000,77.221427,0.420000,2.155574,10.185344,2.101722,3.629219,1.031972,1.008262,0.219942,0.219942
7.000000,0.363219,0.176256,10.700000,76.155018,0.430000,1.628054,10.175117,0.000000,3.626632,1.032198,0.623093,0.822914,0.822914
7.000000,0.363573,0.176682,10.700000,75.132503,0.440000,0.644256,10.164889,0.000000,3.624044,1.032425,0.111203,1.026419,1.026419
7.000000,0.363928,0.177110,10.700000,74.150891,0.450000,2.314367,10.154660,0.000000,3.621454,1.032653,0.410925,0.947372,0.947372
7.000000,0.364283,0.177539,10.700000,73.207472,0.460000,1.955182,10.144430,2.958013,3.618863,1.032882,0.829218,0.615827,0.615827
7.000000,0.364639,0.177970,10.700000,72.299788,0.470000,0.104016,10.134200,3.646039,3.616269,1.033111,1.035381,0.000000,0.000000
