x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.3929,3.9964,2.6561,12.1424,-3.1141,0.0809,-0.9906,0,1,0,0.78127,1
0.4833,4.9482,2.4840,11.8461,2.6725,0.0562,-0.9002,0,1,0,0.20939,1
0.6045,5.5850,2.1294,11.8678,0.5711,0.0679,-1.2076,0,1,0,0.24386,1
0.3325,3.6418,2.8620,13.3431,-2.7563,0.1172,-1.8156,1,2,1,1.38623,1
0.3883,4.2368,2.7484,13.0029,2.9339,0.0977,-1.7493,0,1,2,1.59619,1
0.3749,3.8855,2.7129,12.2044,-2.3060,0.0343,-0.9295,0,1,1,0.94443,3
0.3617,3.8058,2.7561,12.8808,-2.3901,0.0536,-1.4577,0,1,0,1.69839,1
0.4308,4.2593,2.5510,12.3025,1.6742,0.0251,-1.1561,0,2,0,0.71766,1
0.4766,4.8339,2.4878,11.8824,-1.5273,0.0201,-0.8739,0,1,0,0.38760,3
0.3921,4.0846,2.6859,11.7945,3.0225,0.0199,-0.6266,0,1,0,0.18224,3
0.3539,3.8789,2.8215,12.0044,-2.8266,0.2311,-0.9806,0,1,0,0.62275,1
0.4100,4.2149,2.6352,12.0081,1.8447,0.0148,-0.8312,0,1,0,0.67364,1
0.4045,4.4013,2.7132,12.8703,-2.3886,0.0297,-1.5848,0,1,1,1.57884,1
0.3637,3.8368,2.7555,11.8025,2.8968,0.0611,-0.6317,0,1,0,0.25319,3
0.4432,4.4261,2.5377,11.7541,-1.6983,0.0061,-0.6701,0,1,0,0.36384,3
0.4072,4.3490,2.6854,12.8578,2.4362,0.0610,-1.6363,0,1,0,1.61166,1
0.3526,3.7705,2.7935,12.4953,-2.5744,0.0763,-1.1505,0,1,0,0.74813,1
0.3639,3.9399,2.7870,12.0023,-2.8743,0.0817,-0.8087,0,1,0,0.33100,3
0.4731,4.3903,2.4022,11.8316,-1.0701,0.0015,-0.7909,0,0,0,0.00000,1
0.4748,4.5389,2.4292,11.6706,1.3988,0.0166,-0.6629,0,1,0,0.42156,3
0.4360,4.3044,2.5394,11.9872,-2.7107,0.0436,-0.9110,0,1,0,0.63268,1
0.4491,4.7128,2.5811,12.7747,2.0467,0.0050,-1.6350,0,1,0,1.42197,1
0.3841,3.9174,2.6760,12.0363,-2.6897,0.0696,-0.8665,0,1,0,0.37934,1
0.3795,3.8882,2.6903,11.6773,2.9118,0.1119,-0.6265,0,1,0,0.47056,1
0.3679,3.8442,2.7361,11.6994,-2.0946,0.0375,-0.5335,0,1,0,0.29485,1
0.4450,4.5351,2.5566,12.0312,0.9323,0.0192,-0.9399,0,1,0,0.66201,1
0.6028,5.9796,2.1957,12.5466,-1.6672,0.0131,-1.9793,0,1,1,0.79951,1
0.4479,4.7030,2.5842,13.1350,-2.5041,0.0328,-2.0382,0,1,1,1.88429,1
0.4021,4.1077,2.6437,12.2918,-1.9493,0.0515,-1.1011,0,1,0,0.27309,1
0.4777,5.1762,2.5575,11.7628,1.5980,0.0395,-0.7875,0,1,0,0.28980,1
