Q2,targ,var,min,max,p0,p1,p2,p3,p4,p5,p6
5.0,1H,Q2,3.63270,6.12749,2.36004,-67.32440,788.85317,-4846.30482,16403.16686,-28858.30951,20489.52030
5.0,1H,t,-2.34322,-0.43939,10.20635,71.97299,182.88350,168.52439,-62.68830,-196.75879,-65.78689
5.0,1H,W,2.05940,2.87159,-939.32176,14584.56677,-94550.70520,326544.74784,-632087.40449,649109.41701,-276007.36705
5.0,2H,Q2,3.63550,6.06980,1.08553,-30.80967,359.18799,-2195.50327,7392.19588,-12931.56575,9121.06538
5.0,2H,t,-2.31520,-0.42660,8.82799,69.02283,208.07920,292.59036,167.67907,0.11866,-13.46621
5.0,2H,W,2.08040,2.86960,35.26236,-267.13533,-152.82288,6794.88546,-24243.27662,34932.24174,-18513.63173
5.0,12C,Q2,3.63026,6.01105,1.97589,-56.00945,653.23475,-4003.83796,13564.97850,-24003.38059,17260.80976
5.0,12C,t,-2.27393,-0.40478,20.73805,163.49700,499.06497,725.80196,481.49002,97.74825,-2.82154
5.0,12C,W,2.08867,2.87070,94.01102,-1352.62000,7597.64104,-21327.28835,31245.50535,-22020.12501,5381.93919
5.0,63Cu,Q2,3.62800,6.03472,1.29883,-36.65154,424.75752,-2580.25112,8631.44071,-14996.49885,10499.87973
5.0,63Cu,t,-2.28863,-0.39579,15.91684,128.70620,407.21945,625.35004,457.25493,123.78873,7.30957
5.0,63Cu,W,2.09765,2.87020,8.33185,-123.77260,388.74106,830.93001,-6410.89056,11531.87198,-6859.36988
6.5,1H,Q2,5.08185,7.97971,-0.01177,0.22276,0.20925,-32.39067,279.74199,-933.98370,1082.03554
6.5,1H,t,-2.83280,-0.54260,5.96321,57.55413,218.46474,411.72339,393.84764,167.87781,24.77040
6.5,1H,W,2.30675,3.06890,67.83955,356.51305,-12221.90209,78590.53639,-226383.09768,312884.41429,-169248.40082
6.5,2H,Q2,5.08710,7.95404,-0.01295,0.34841,-2.98312,2.58315,94.71564,-491.35107,744.09057
6.5,2H,t,-2.82589,-0.51683,2.74256,27.31490,107.70402,212.62217,216.30311,102.39535,17.93878
6.5,2H,W,2.30846,3.06780,130.12242,-1343.42697,4000.33290,3215.34636,-40386.71359,77791.29601,-49136.06755
6.5,12C,Q2,5.07640,7.88787,0.00308,-0.32124,8.46404,-99.69385,597.22144,-1774.75359,2070.74192
6.5,12C,t,-2.78282,-0.47635,3.37288,32.89499,126.02561,238.30775,226.20612,95.02369,14.16459
6.5,12C,W,2.32650,3.06992,5.55862,901.07035,-12748.25606,69401.37890,-186395.29401,248243.00844,-131404.94497
6.5,63Cu,Q2,5.08104,7.91930,0.03442,-1.47965,26.11853,-241.79818,1235.11163,-3291.65387,3567.13010
6.5,63Cu,t,-2.79879,-0.48815,2.45382,24.24955,94.64846,183.96294,182.05547,81.68322,13.36688
6.5,63Cu,W,2.31687,3.06920,-1082.21777,18068.55395,-125373.08996,462569.30363,-956784.89992,1051685.93335,-479860.40043
7.5,1H,Q2,6.09940,9.06049,-0.01527,0.46693,-4.38478,-0.87242,252.55875,-1456.82504,2601.53927
7.5,1H,t,-3.21011,-0.61059,1.37988,15.11055,64.96670,139.04293,153.10688,78.01061,14.63801
7.5,1H,W,2.51940,3.19620,264.95582,-3059.03503,11116.62286,-1495.54528,-83112.66332,191057.95998,-135018.45883
7.5,2H,Q2,6.09031,9.05806,-0.03938,1.71698,-30.94254,295.12933,-1572.63919,4445.03908,-5215.61133
7.5,2H,t,-3.19746,-0.58158,0.48065,5.39078,23.91253,53.25887,61.65415,33.63849,6.90853
7.5,2H,W,2.52295,3.19869,42.56120,-170.08108,-2763.25529,25416.39111,-85419.86909,131532.83496,-77930.73169
7.5,12C,Q2,6.09570,8.97729,-0.07676,3.37883,-61.62360,596.39090,-3232.99153,9318.23756,-11170.38751
7.5,12C,t,-3.14965,-0.53198,0.63323,6.93516,29.72913,62.77720,66.60770,31.35317,5.33076
7.5,12C,W,2.54238,3.19730,91.99178,-889.48502,1388.03189,13576.16527,-68878.30190,122921.60323,-78757.39951
7.5,63Cu,Q2,6.09257,9.01228,-0.04532,1.99598,-36.41317,352.45388,-1911.21632,5513.54291,-6622.55661
7.5,63Cu,t,-3.18385,-0.54713,0.47336,5.23991,22.85545,49.66987,55.25915,28.14029,5.30381
7.5,63Cu,W,2.53361,3.19750,-0.49029,519.19848,-7395.12099,42156.36389,-119763.88695,169472.06149,-95560.44386
8.5,1H,Q2,7.07794,10.14853,-0.08200,4.15030,-87.13489,971.66589,-6072.94946,20184.02946,-27891.00782
8.5,1H,t,-3.56961,-0.70924,0.40964,5.09190,24.89400,60.79009,77.01789,46.20017,10.45685
8.5,1H,W,2.58161,3.23290,71.07933,-840.95664,3025.92480,674.63422,-28897.58093,65336.39984,-46701.64763
8.5,2H,Q2,7.08042,10.14576,-0.02711,1.37417,-28.88669,322.49656,-2017.70835,6712.06779,-9281.83207
8.5,2H,t,-3.57498,-0.67452,0.12988,1.63225,8.11499,20.28931,26.48546,16.44728,3.86049
8.5,2H,W,2.58062,3.23208,23.71025,-323.78538,1655.24196,-3619.77346,1768.84844,4921.54627,-5626.99140
8.5,12C,Q2,7.07031,10.10219,-0.03431,1.73374,-36.34626,404.81028,-2527.73062,8396.35667,-11600.48458
8.5,12C,t,-3.53308,-0.59720,0.15401,1.87643,8.93562,20.94749,24.68847,12.90384,2.43191
8.5,12C,W,2.58942,3.23430,30.05599,-369.69785,1471.90994,-762.49675,-9370.92827,23758.95401,-17646.33750
8.5,63Cu,Q2,7.07440,10.10376,-0.03850,1.95654,-41.25537,462.14430,-2901.80370,9688.18037,-13444.07767
8.5,63Cu,t,-3.53645,-0.61317,0.12368,1.54199,7.57029,18.52944,23.31315,13.58178,2.95283
8.5,63Cu,W,2.59072,3.23328,23.23769,-244.04898,559.33447,2599.10821,-15981.42933,30267.97840,-20086.40657
