Q2,targ,var,min,max,p0,p1,p2,p3,p4,p5,p6
5.0,1H,Q2,3.64330,5.87382,18.83016,-535.66573,6295.02555,-39087.54289,135128.55639,-246357.26853,184873.38522
5.0,1H,t,-1.43721,-0.44999,5644.58411,34164.22488,84232.36439,107354.82145,73620.08066,25329.68795,3406.39353
5.0,1H,W,2.25450,2.86363,2192.03966,-17523.88369,14522.12623,259518.52981,-1037879.56362,1554474.25213,-845453.16517
5.0,2H,Q2,3.64320,5.84624,0.18135,-2.83676,-3.08241,316.45304,-2433.01145,7592.27659,-8728.03491
5.0,2H,t,-1.43590,-0.42734,1827.64808,11658.33976,30072.35417,39745.06949,27978.27440,9775.83088,1325.02955
5.0,2H,W,2.23624,2.86250,-27171.15191,421528.07790,-2718139.96762,9323840.90566,-17942112.05979,18363398.58364,-7809199.07024
5.0,12C,Q2,3.64610,5.93766,7.60959,-214.50899,2491.66648,-15242.31262,51693.85645,-91948.51742,66842.74171
5.0,12C,t,-1.41479,-0.41415,2700.92443,16976.88598,43119.03308,56088.09369,38858.25177,13371.96682,1788.46093
5.0,12C,W,2.20584,2.86182,1691.44531,-17230.10098,55547.75409,-10085.17000,-306463.91086,624114.71768,-387417.95596
5.0,63Cu,Q2,3.64030,5.94287,7.07505,-200.92992,2354.91245,-14563.24992,50055.50929,-90527.54591,67201.28623
5.0,63Cu,t,-1.43747,-0.41356,1067.39850,7420.02082,20546.13100,28720.24345,21052.74793,7532.85377,1032.82203
5.0,63Cu,W,2.17800,2.86333,136.31947,4324.07431,-67524.92752,360074.93449,-924062.27006,1165002.30874,-581111.17289
6.5,1H,Q2,5.08277,7.60461,1.94990,-74.37278,1178.20642,-9919.29094,46782.27786,-117113.84639,121493.69509
6.5,1H,t,-1.57679,-0.51520,-749.85572,-4537.97516,-10667.30230,-12243.74087,-7138.28973,-2034.22803,-224.81161
6.5,1H,W,2.44416,3.06850,-32192.21717,530434.17345,-3634279.48727,13252017.72321,-27121566.63686,29537269.16883,-13372895.49633
6.5,2H,Q2,5.09205,7.68250,-0.00065,-0.00885,1.41364,-27.64655,219.08152,-776.27028,1014.54196
6.5,2H,t,-1.58370,-0.46980,-554.67181,-3481.86902,-8672.34014,-10890.71086,-7259.28280,-2463.72161,-335.63630
