Q2,targ,var,min,max,p0,p1,p2,p3,p4,p5,p6
5.0,1H,Q2,3.74749,6.19454,22.83233,-689.86283,8628.20370,-57148.57618,211282.97985,-413108.51841,333519.21835
5.0,1H,t,-1.08858,-0.23361,-36381.69179,-179108.02839,-358084.57433,-369732.74539,-205722.72033,-57280.69679,-5927.66678
5.0,1H,W,2.05304,2.83150,-30508.44563,457407.72691,-2842742.94165,9373327.60075,-17293677.27231,16928484.18078,-6869520.10766
5.0,2H,Q2,3.73155,6.19949,5.31164,-161.89254,2042.06816,-13637.35730,50821.70008,-100138.13203,81454.44190
5.0,2H,t,-1.09383,-0.21837,-1628.14276,-10799.43479,-26984.02356,-33255.60639,-21360.95418,-6647.55953,-728.61501
5.0,2H,W,2.05507,2.82830,495.50108,-2225.46144,-15701.69835,140526.53749,-408385.58133,532754.34446,-265454.81896
5.0,12C,Q2,3.68432,6.13173,8.45874,-252.99604,3132.95971,-20549.59595,75247.92869,-145740.99743,116565.04011
5.0,12C,t,-1.13409,-0.20770,5572.20351,20734.49041,27689.34404,14124.63477,-113.45533,-2058.71759,-345.72831
5.0,12C,W,2.04548,2.84732,-14688.29610,218285.13175,-1345649.60000,4404014.12290,-8069860.52590,7849740.02032,-3166839.45866
5.0,63Cu,Q2,3.70211,6.10336,6.22107,-187.75543,2345.75745,-15520.97470,57326.66150,-111991.52176,90354.97849
5.0,63Cu,t,-1.19480,-0.21456,-723.94527,-5046.08008,-13465.21340,-17843.68178,-12333.82331,-4098.16700,-463.39139
5.0,63Cu,W,2.05431,2.84199,-11065.29739,165094.34357,-1021933.91024,3358919.04593,-6182478.66922,6042115.73926,-2449577.48322
6.5,1H,Q2,5.58044,8.13092,1.65304,-69.59216,1218.55837,-11352.52085,59306.45529,-164585.02632,189404.74591
6.5,1H,t,-1.30488,-0.30072,-1005.89531,-7292.75374,-20768.56578,-29882.59451,-22808.40055,-8593.95545,-1182.37777
6.5,1H,W,2.26322,2.90073,20249.00275,-293470.13987,1762322.36737,-5611992.26150,9993266.40211,-9432625.54158,3685933.59736
6.5,2H,Q2,5.20241,8.07032,0.00708,-0.60105,16.11542,-203.50161,1340.23220,-4460.17589,5929.47448
6.5,2H,t,-1.40425,-0.29666,199.54122,794.04114,885.49332,-287.51599,-1188.40020,-739.00347,-127.67882
6.5,2H,W,2.28080,3.03847,85.19807,-103.78717,-6793.23525,47283.20033,-133589.84892,176370.06010,-90084.27112
6.5,12C,Q2,5.18054,8.06607,-0.03494,0.72864,0.04218,-114.82019,1156.47874,-4600.08788,6683.90560
6.5,12C,t,-1.36079,-0.30536,918.85394,4136.31316,6768.54712,4406.21411,258.97279,-785.75651,-187.43712
6.5,12C,W,2.27960,3.04400,440.81447,-3597.50802,2168.79565,64611.84503,-261952.41607,407181.84153,-231321.48826
6.5,63Cu,Q2,5.16696,8.05191,-0.02840,0.59524,-0.32184,-85.43690,869.60037,-3458.96720,5019.92032
6.5,63Cu,t,-1.43593,-0.30168,141.33244,487.01960,211.51824,-1090.02498,-1743.04116,-947.94384,-158.92526
6.5,63Cu,W,2.28620,3.04719,-1250.33789,21819.00208,-156517.50754,591651.39750,-1244481.00675,1382440.31331,-634179.60642
7.5,1H,Q2,6.39487,9.15137,0.08514,-2.48289,19.71021,82.52345,-2073.22773,11074.64898,-19850.30759
7.5,1H,t,-1.41206,-0.34043,1310.66200,7359.79761,16523.99307,18770.64935,11200.24676,3267.54052,364.55599
7.5,1H,W,2.50045,3.13729,-1425.92485,12237.16040,-1825.99208,-310909.54574,1325640.50524,-2239124.78822,1394941.42491
7.5,2H,Q2,6.21475,9.19462,-0.07635,3.56373,-68.77353,702.18302,-3999.83160,12051.95913,-15008.05356
7.5,2H,t,-1.48610,-0.34098,276.29647,1580.69517,3602.31629,4132.45772,2470.40130,712.85054,77.79678
7.5,2H,W,2.49199,3.17737,-3130.10367,52878.62775,-371202.67290,1385984.31165,-2903021.12208,3234264.51496,-1497422.46125
7.5,12C,Q2,6.22236,9.11148,-0.12423,5.40408,-96.54945,905.10821,-4685.35403,12664.11363,-13912.59058
7.5,12C,t,-1.52270,-0.36158,381.14867,2142.33519,4698.83824,5005.40853,2590.35354,549.39354,28.17686
7.5,12C,W,2.50714,3.17085,286.15620,-2203.41280,-2364.54239,72988.55651,-282155.83832,452724.73506,-271104.18733
7.5,63Cu,Q2,6.18264,9.02229,-0.12656,5.64388,-104.04262,1014.57400,-5518.66092,15875.09305,-18869.20382
7.5,63Cu,t,-1.56544,-0.34149,214.44710,1252.69811,2886.17438,3294.96663,1907.72887,507.41267,47.96579
7.5,63Cu,W,2.53322,3.18145,57.69347,-433.57577,-337.16287,12207.88794,-44785.54991,66968.17875,-36831.71374
8.5,1H,Q2,7.33273,10.21067,0.55002,-28.32662,605.67935,-6882.85827,43846.83799,-148481.62499,208838.04976
8.5,1H,t,-1.46011,-0.43040,815.37858,4944.56509,12118.42964,15263.00594,10333.17650,3534.54592,476.50078
8.5,1H,W,2.57346,3.18813,-397.08977,4534.29205,-16675.66416,6294.54591,102183.83741,-239520.04978,167326.86105
8.5,2H,Q2,7.19092,10.20051,-0.05285,2.79121,-61.14220,710.96980,-4628.15209,15991.13162,-22912.69584
8.5,2H,t,-1.69101,-0.45376,39.17449,257.66041,669.10247,860.40691,558.27054,163.15064,15.63475
8.5,2H,W,2.57749,3.20952,-74.19524,860.71745,-2875.91473,-2736.84390,37676.93062,-81993.23913,58666.81498
8.5,12C,Q2,7.16490,10.07313,-0.05902,3.02148,-63.87512,713.45122,-4439.03386,14583.57655,-19760.04727
8.5,12C,t,-1.62576,-0.43089,237.73639,1497.12108,3752.09962,4726.57789,3095.50061,974.03113,114.28715
8.5,12C,W,2.60638,3.21470,31.86529,-244.99274,391.15283,424.17544,2372.17932,-15189.82718,17393.25031
8.5,63Cu,Q2,7.14019,10.09447,-0.05559,2.79308,-58.04873,638.54519,-3919.78678,12728.36815,-17077.78897
8.5,63Cu,t,-1.68035,-0.42268,103.83876,675.98073,1753.80121,2292.08172,1562.59985,514.67683,63.95857
8.5,63Cu,W,2.59903,3.22029,117.80262,-1239.17456,3435.55341,6761.36667,-55010.78146,106566.91225,-70195.23849
